structure,time_it0,time_it1,time_itw
3J95,14.6718,1627.5356,96.4003
3J96,34.8617,8753.0553,476.6865
5GRS,15.0497,2062.3425,115.8944
5HNY,4.7843,466.2121,24.5573
5WCB,7.8008,828.9710,44.6242
6ACG,17.3464,2265.4076,124.6061
6AHF,23.0115,251.8357,185.2798
6C06,17.3444,2167.4975,
6C3P,45.5951,7445.0322,442.5537
6ENY,6.4850,722.5732,40.5008
6IRF,13.6159,1641.6994,89.0805
6N1Q,18.2802,3023.4194,176.9791
6N7G,20.5699,2895.6198,168.1704
6N8T,28.0387,4122.9312,
6N8Z,21.8477,3261.8951,175.6513
6R7I,23.9994,4528.7575,255.7951
6UBY,11.4343,1571.3121,96.4033
6UC0,12.3471,1797.7377,105.8459
