structure,time_it0,time_it1,time_itw
3J95,13.6119,2498.1412,94.6946
3J96,29.9374,12401.5977,457.9554
5GRS,15.1997,3445.7622,116.1843
5HNY,4.6763,483.9744,24.7352
5WCB,7.3349,898.5004,43.5804
6ACG,16.2395,2153.3696,120.4347
6AHF,21.4977,3166.8606,178.4249
6C06,14.8317,1592.6129,
6C3P,40.5608,7224.6657,462.2697
6ENY,6.1931,735.4622,40.4988
6IRF,12.5801,1873.5142,91.2881
6N1Q,16.6555,3904.6774,171.4279
6N7G,8.1878,1043.5134,62.3315
6N8T,23.9114,304.6357,217.5689
6N8Z,19.1731,3152.0738,169.6162
6R7I,19.7450,4302.7109,247.1504
6UBY,10.1425,1575.3065,95.0086
6UC0,11.0003,1820.0063,108.4315
