structure,time_it0,time_it1,time_itw
3J95,14.5868,1666.8916,97.3492
3J96,34.7557,7807.9910,471.3763
5GRS,15.0157,2004.2833,116.1383
5HNY,4.7413,471.9423,24.3773
5WCB,7.7888,871.7165,44.9012
6ACG,17.2964,2205.6427,124.4131
6AHF,22.9115,254.3103,179.5657
6C06,17.3014,1566.2059,
6C3P,45.6381,8027.0617,456.3136
6ENY,6.5610,817.6807,46.9139
6IRF,14.1449,1835.5340,107.0557
6N1Q,21.6047,2880.3141,176.2662
6N7G,8.4477,1042.9634,49.4785
6N8T,28.0887,5705.5586,274.3573
6N8Z,21.7197,2872.7163,174.3995
6R7I,24.0443,4563.4982,254.3753
6UBY,11.5182,2048.8525,134.7095
6UC0,12.7591,2725.6016,146.6647
